# test subtest run checkout repeat value unit host
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249600 000 1760000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249600 001 1770000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249600 002 1790000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249600 003 1760000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249600 004 1780000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249601 000 1690000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249601 001 1780000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249601 002 1760000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249601 003 1830000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249601 004 1790000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249602 000 1800000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249602 001 1800000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249602 002 1770000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249602 003 1760000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10 receiver 1662323025 1662249602 004 1800000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10_-R receiver 1662323025 1662249600 000 1650000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10_-R receiver 1662323025 1662249600 001 1390000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10_-R receiver 1662323025 1662249600 002 1550000000 bits/sec ot31
iperf3_-c10.6.12.52_-u_-b10G_-w1m_-t10_-R receiver 1662323025 1662249600 003 1660000000 bits/sec ot31
