# test subtest run checkout repeat value unit host
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650067200 000 3370000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650067200 001 3360000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650067200 002 3390000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650067200 003 3490000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650067200 004 3540000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650153600 000 3400000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650153600 001 3390000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650153600 002 3390000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650153600 003 3320000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650153600 004 3360000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650240000 000 3330000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650240000 001 3460000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650240000 002 3320000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650240000 003 3370000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650240000 004 3460000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650326400 000 3430000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650326400 001 3480000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650326400 002 3440000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650326400 003 3500000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650326400 004 3470000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650412800 000 3540000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650412800 001 3330000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650412800 002 3380000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650412800 003 3470000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650412800 004 3350000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650499200 000 3440000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650499200 001 3460000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650499200 002 3550000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650499200 003 3390000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650499200 004 3380000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650585600 000 3410000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650585600 001 3510000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650585600 002 3520000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650585600 003 3630000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650585600 004 3570000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650672000 000 3380000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650672000 001 3520000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650672000 002 3480000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650672000 003 3390000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650694743 1650672000 004 3350000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650067200 000 3400000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650067200 001 3400000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650067200 002 3330000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650067200 003 3520000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650067200 004 3360000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650153600 000 3410000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650153600 001 3460000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650153600 002 3300000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650153600 003 3290000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650153600 004 3360000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650240000 000 3370000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650240000 001 3310000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650240000 002 3310000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650240000 003 3380000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650240000 004 3320000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650326400 000 3320000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650326400 001 3370000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650326400 002 3340000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650326400 003 3320000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650326400 004 3410000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650412800 000 3360000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650412800 001 3380000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650412800 002 3370000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650412800 003 3310000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650412800 004 3350000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650499200 000 3400000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650499200 001 3350000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650499200 002 3370000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650499200 003 3290000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650499200 004 3350000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650585600 000 3570000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650585600 001 3450000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650585600 002 3400000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10_-R receiver 1650694743 1650585600 003 3450000000 bits/sec ot14
