# test subtest run checkout repeat value unit host
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650067200 000 3140000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650067200 001 3180000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650067200 002 3240000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650067200 003 3130000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650067200 004 3230000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650153600 000 3160000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650153600 001 3210000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650153600 002 3190000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650153600 003 3190000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650153600 004 3290000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650240000 000 3200000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650240000 001 3220000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650240000 002 3260000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650240000 003 3230000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650240000 004 3220000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650326400 000 3260000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650326400 001 3160000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650326400 002 3220000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650326400 003 3290000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650326400 004 3210000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650412800 000 3180000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650412800 001 3210000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650412800 002 3240000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650412800 003 3140000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650412800 004 3110000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650499200 000 3180000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650499200 001 3190000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650499200 002 3170000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650499200 003 3170000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650499200 004 3230000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650585600 000 3230000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650585600 001 3180000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650585600 002 3220000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650585600 003 3210000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650585600 004 3290000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650672000 000 3090000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650672000 001 3140000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650672000 002 3110000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650672000 003 3100000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650694743 1650672000 004 3090000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650067200 000 3130000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650067200 001 3130000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650067200 002 3160000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650067200 003 3180000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650067200 004 3170000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650153600 000 3080000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650153600 001 3150000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650153600 002 3140000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650153600 003 3150000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650153600 004 3180000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650240000 000 3150000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650240000 001 3200000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650240000 002 3070000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650240000 003 3180000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650240000 004 3250000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650326400 000 3220000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650326400 001 3160000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650326400 002 3150000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650326400 003 3150000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650326400 004 3190000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650412800 000 3130000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650412800 001 3110000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650412800 002 3080000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650412800 003 3100000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650412800 004 3140000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650499200 000 3080000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650499200 001 3140000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650499200 002 3130000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650499200 003 3150000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650499200 004 3130000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650585600 000 3210000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650585600 001 3150000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650585600 002 3240000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650585600 003 3260000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650585600 004 3180000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650672000 000 3070000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650672000 001 3120000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650672000 002 3140000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650672000 003 3140000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650694743 1650672000 004 3030000000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650067200 000 3309934000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650067200 001 3425646500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650067200 002 3348682375 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650067200 003 3314022000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650067200 004 3419713625 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650153600 000 3228328500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650153600 001 3364151750 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650153600 002 3235758750 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650153600 003 3413922000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650153600 004 3351255625 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650240000 000 3347912750 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650240000 001 3397953875 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650240000 002 3366595125 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650240000 003 3341244250 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650240000 004 3374100500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650326400 000 3339266000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650326400 001 3330675500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650326400 002 3398984000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650326400 003 3348748250 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650326400 004 3325710000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650412800 000 3320992875 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650412800 001 3275601875 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650412800 002 3372566375 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650412800 003 3369385500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650412800 004 3290862625 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650499200 000 3363031625 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650499200 001 3321847125 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650499200 002 3353758625 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650499200 003 3314020250 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650499200 004 3308803500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650585600 000 3423243000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650585600 001 3304635125 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650585600 002 3406684750 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650585600 003 3417575875 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650585600 004 3436782125 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650672000 000 3253763500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650672000 001 3238846500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650672000 002 3249826875 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650672000 003 3244330000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_fdd7:e83e:66bc:0345::35 sender 1650694743 1650672000 004 3254947000 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650067200 000 3293727375 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650067200 001 3267223625 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650067200 002 3198863750 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650067200 003 3243081250 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650067200 004 3239523875 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650153600 000 3302448250 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650153600 001 3356911375 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650153600 002 3317050000 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650153600 003 3300392875 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650153600 004 3365566625 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650240000 000 3310433875 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650240000 001 3274597125 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650240000 002 3247327750 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650240000 003 3348889625 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650240000 004 3246287125 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650326400 000 3198978375 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650326400 001 3264650750 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650326400 002 3301073375 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650326400 003 3356754000 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650326400 004 3274821125 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650412800 000 3414949875 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650412800 001 3260445625 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650412800 002 3327393750 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650412800 003 3287148125 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650412800 004 3268180000 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650499200 000 3329228750 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650499200 001 3272935625 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650499200 002 3304885625 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650499200 003 3367763875 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650499200 004 3274067875 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650585600 000 3290098375 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650585600 001 3293300375 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650585600 002 3445620750 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650585600 003 3293052875 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650585600 004 3319617875 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650672000 000 3275946750 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650672000 001 3244342375 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650672000 002 3220095125 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650672000 003 3281490625 bits/sec ot14
tcpbench_-S1000000_-t10_fdd7:e83e:66bc:0345::35 sender 1650694743 1650672000 004 3248909125 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650585600 000 3220000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650585600 001 3210000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650585600 002 3230000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650585600 003 3220000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650585600 004 3180000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650587275 000 3210000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650587275 001 3250000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650587275 002 3230000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650587275 003 3280000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650587275 004 3300000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650629457 000 3090000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650629457 001 3090000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650629457 002 3160000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650629457 003 3090000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650629457 004 3120000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650672000 000 3160000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650672000 001 3130000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650672000 002 3120000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650672000 003 3090000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10 receiver 1650885598 1650672000 004 3070000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650585600 000 3210000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650585600 001 3210000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650585600 002 3170000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650585600 003 3270000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650585600 004 3220000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650587275 000 3290000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650587275 001 3200000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650587275 002 3190000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650587275 003 3180000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650587275 004 3220000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650629457 000 3080000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650629457 001 3120000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650629457 002 3020000000 bits/sec ot14
iperf3_-6_-cfdd7:e83e:66bc:0345::35_-w1m_-t10_-R receiver 1650885598 1650629457 003 3090000000 bits/sec ot14
